,CV,log CV,RCVQ,log RCVQ,RCVM,log RCVM,Mistake
10.1002:btm2.10552_zero_fig3,0.4911195336318447,-0.3088127920345284,0.2592621218834668,-0.5862609288867437,0.3597013248437595,-0.4440579625949597,zero
10.1002:btm2.10552_zero_fig4,0.3600497431295237,-0.44363749458190843,0.17707597702235117,-0.7518403532893063,0.13299002451142392,-0.8761809339360737,zero
10.1002:btm2.10552_zero_fig5,0.4497935282137031,-0.34698679763604046,0.3008634933403537,-0.5216305061871251,0.3845370009068175,-0.4150618651823886,zero
10.1002:btm2.10552_zero_fig6,0.34209402206837997,-0.4658545148397816,0.17244618240727136,-0.7633464155488834,0.2877680467713484,-0.5409574309737645,zero
10.1002:btm2.10552_zero_fig7,0.4468864304335356,-0.34980283235532406,0.2369973190348525,-0.6252565667956146,0.4684963002680964,-0.32929383440159166,zero
10.1002:btm2.10552_zero_fig8,0.5360409072464578,-0.27080206643875443,0.28427862038051954,-0.546255800879045,0.5619619767682111,-0.250293068485022,zero
10.1002:btm2.10552_zero_fig9,0.34908537703552095,-0.45706834312450145,0.18513047798615956,-0.7325220775647923,0.3659659288830404,-0.43655934517076905,zero
10.1002:btm2.10589_zero_fig1,0.14679245713553132,-0.8332962598734798,0.12721313308508075,-0.8954680511722075,0.022281037555599584,-1.6520645893430213,zero
10.1002:btm2.10590_zero_fig1,0.1532688583052693,-0.8145460776314679,0.12395484998185435,-0.9067364759219836,0.14198246020180932,-0.847765302856792,zero
10.1002:btm2.10594_log_fig1,1.3414726810757467,0.12758183274492163,1.297167987309252,0.1129962222191776,0.9574081414031549,-0.01890288377758003,log
10.1002:btm2.10594_log_fig2,0.8090612062903111,-0.09201862233253125,0.9867679183088842,-0.005784978687684371,1.004087500622353,0.001771560798655678,log
10.1002:btm2.10594_log_fig3,0.6394966840605262,-0.19416170309767974,0.5073692595610021,-0.29467584930872315,0.623563252920087,-0.20511948604936486,log
10.1002:btm2.10594_log_fig4,1.0588659489715218,0.024840982480532195,2.1994319706513177,0.34231053361106245,0.7016793305913651,-0.1538613163204439,log
10.1002:btm2.10596_zero_fig1,0.37938011923777054,-0.4209254313059647,0.20119669122029146,-0.6963791657462551,0.39772561920427196,-0.4004164333522323,zero
10.1002:btm2.10596_zero_fig3,0.1947136945727114,-0.7106035026751036,0.103262530366688,-0.9860572371153936,0.20412937002886858,-0.6900945047213711,zero
10.1002:btm2.10602_log_fig1,4.211500809754564,0.6244368885303241,1.0413323372179468,0.01758935504934297,1.0537323273216492,0.02273030392124504,log
10.1002:btm2.10603_zero_fig1,0.1742782902482722,-0.7587567093478461,0.15824654534569502,-0.8006657622185266,0.14056741535613054,-0.8521153405615438,zero
10.1002:btm2.10603_zero_fig2,0.2395371081364616,-0.6206271978630625,0.08035321322197606,-1.0949967516738646,0.1021387359018567,-0.9908095213996626,zero
10.1002:btm2.10609_zero_fig10,0.22636060317628978,-0.6451991574837265,0.307578943538808,-0.5120433990978964,0.20284422585590206,-0.6928373503683846,zero
10.1002:btm2.10609_zero_fig11,2.0010834028145674,0.30126518989922935,1.4756536427732079,0.16898443425939622,0.7720581652074592,-0.11234997961625084,zero
10.1002:btm2.10609_zero_fig12,5.3250517112115165,0.7263238295351453,3.9121538149284594,0.5924159216936399,4.069011976047899,0.6094889680847583,zero
10.1002:btm2.10609_zero_fig13,-2.5183789283790707,,-2.182659681904175,,-2.624881629881159,,zero
10.1002:btm2.10609_zero_fig14,3.2844547724857542,0.516463285934298,13.741874087336399,1.1380459649132635,13.70557740059427,1.1368973366000488,zero
10.1002:btm2.10609_zero_fig15,-2.98243956795003,,-6.167744832288049,,-6.637573001038429,,zero
10.1002:btm2.10609_zero_fig16,-2.5744561528854697,,-3.731653481367829,,-4.171348837817166,,zero
10.1002:btm2.10609_zero_fig17,-5.35174259427028,,-5.184244841151521,,-4.951516978227454,,zero
10.1002:btm2.10609_zero_fig18,-5.098176154713409,,-5.507637905379802,,-5.1791792892713815,,zero
10.1002:btm2.10609_zero_fig19,-2.954408625795414,,-2.295650585380509,,-2.329610580627405,,zero
